ID,question,choices,answer
32,what happens to the water ball after being hit?,A. burst. B. pick up and push boys away. C. pass it around. D. straighten up. E. turn back.,0
33,where is the boy picking the fruit?,A. head. B. classroom. C. in the forest. D. beach. E. floor.,2
34,why did the cat stretch its paws out after sitting up?,A. go somewhere. B. change playing position. C. hit the bird. D. playing. E. relaxed.,2
35,what is the man adjusting in vehicle near the end?,A. to go back. B. red. C. musical instruments. D. cardboard box. E. mobile phone.,0
36,how does the baby react after the walker starts to bounce?,A. stretches his arms. B. push walker. C. rolls down. D. sad. E. smile.,4
37,what does the boy do after playing with the steering wheel for a while at the end?,A. running. B. stood up. C. adjust it. D. playing with sofa. E. close the door of toy car.,4
38,why did the boy in green run after the ball near the end?,A. crawl to lady. B. pick up and throw it. C. to move it away. D. to retrieve ball quickly. E. play catch.,1
39,what did the lady in black do after the man in grey sang into the microphone?,A. smiling. B. leaning against high table. C. take microphone back. D. walk past him. E. looks at her while singing.,2
40,what did the boy do after squatting down for a while?,A. walk forward. B. pick up grass. C. bend down and touch the woman s back. D. lie backwards. E. continue cycling.,3
41,why does the baby hold the ipod at the start of the video?,A. give to baby. B. listen music. C. playing with it. D. to throw it. E. give ipod to lady.,2
42,why does the girl have a paper airplane in her hand?,A. play with paper airplane. B. take a photo. C. unfold the paper airplane. D. pass to adult. E. pretending to play.,0
43,what does the man above hold onto while climbing up?,A. rope. B. lady. C. stick. D. man s  hand. E. camera.,0
44,why was the lady with the pumpkin putting her hand inside the pumpkin at the end?,A. crafting. B. tie knots. C. push food back in the mouth. D. take out a piece of pumpkin. E. scoop out ingredient.,3
45,how does the cat play with the human foot?,A. jump over it. B. licks the foot. C. sniffing. D. grab and bite it. E. lie on the carpet.,3
46,where is the baby resting on?,A. mobile. B. in walker. C. cradle. D. bed. E. baby trolley.,2
47,why are there high chairs on the stage?,A. to place the microphones. B. for guitarists to sit comfortably. C. for audience to sit. D. to act as displays. E. to take up stage spaces.,1
48,who finished the food first?,A. the man in white. B. girl with funny face. C. man with cap. D. man in black. E. the man next to the oven.,0
49,how many vehicles were filmed?,A. four. B. one. C. six. D. three. E. five.,3
